run_id,entity_type,entity_id,check_name,status,details,extract_date
20260408T065127Z,article,39d681e3e2bad6cb,article_identity_complete,PASS,Bayangan Starting XI Timnas Indonesia jika Tanpa Pemain Diaspora Eropa di Piala AFF 2026: Tetap Ngeri Meski Tanpa Jay Idzes dkk! - Bola.com,2026-04-08T06:52:05Z
20260408T065127Z,article,07f9ecaf96917820,article_identity_complete,PASS,Eks Bek Timnas Indonesia Ingatkan John Herdman: Duet Jay Idzes-Elkan Baggott Berisiko - VIVA.co.id,2026-04-08T06:52:05Z
20260408T065127Z,article,2676745aa1b89132,article_identity_complete,PASS,"Tambal Buritan yang Mulai Dimakan Usia, Inter Milan Tetapkan Tandem Jay Idzes sebagai Prioritas Utama - Bolasport.com",2026-04-08T06:52:05Z
20260408T065127Z,article,2c1e7d2e550e8c5d,article_identity_complete,PASS,Kata-kata Pelatih Sassuolo Usai Jay Idzes Jadi Pemain Terbaik Indonesia - Suara.com,2026-04-08T06:52:05Z
20260408T065127Z,article,8f7cd218384a9d90,article_identity_complete,PASS,2 Blunder Jay Idzes yang Dikritik Media Italia hingga Berujung Gol Lawan - Tribunjatim.com,2026-04-08T06:52:05Z
20260408T065127Z,article,03464a0b5ad96c5a,article_identity_complete,PASS,"Menengok Perfoma Pemain Abroad Timnas Indonesia: Jay Idzes Bantu Sassuolo Menang di Serie A, Ajax-nya Maarten Paes Keok! - Bola.net",2026-04-08T06:52:05Z
20260408T065127Z,article,5471df706186619f,article_identity_complete,PASS,"Eks Bek Timnas Indonesia Mulai Curiga dengan Nasib Trio Justin, Idzes, Ridho usai Elkan Baggott Comeback - tvOneNews",2026-04-08T06:52:05Z
20260408T065127Z,article,fd4716ec84323230,article_identity_complete,PASS,Aksi Jay Idzes Tetap Jadi Sorotan Tajam Media Italia Meski Sassuolo Menang 2-1 Atas Cagliari - tvOneNews,2026-04-08T06:52:05Z
20260408T065127Z,article,d4ac38b9432a5079,article_identity_complete,PASS,"Liga Italia: Jay Idzes dkk. Perlu Waspada, Genoa Menebar Ancaman Akhir Pekan Ini - Bola.com",2026-04-08T06:52:05Z
20260408T065127Z,article,75ecd5bbe32fe97f,article_identity_complete,PASS,"Kelar Bela Timnas, Jay Idzes Kena Semprot Media Italia Usai Blunder di Sassuolo - tvOneNews",2026-04-08T06:52:05Z
20260408T065127Z,article,d302fcd696c73345,article_identity_complete,PASS,Jay Idzes: Masa Depan Timnas Indonesia Cerah - detiksport,2026-04-08T06:52:05Z
20260408T065127Z,article,a9b7203f7852be73,article_identity_complete,PASS,Elkan Baggott Bisa Setara Jay Idzes di Timnas Indonesia? - CNN Indonesia,2026-04-08T06:52:05Z
20260408T065127Z,article,dedd0331513debd2,article_identity_complete,PASS,"Media Italia Kritik Jay Idzes, Penalti Jadi Titik Balik Laga - BeritaSatu.com",2026-04-08T06:52:05Z
20260408T065127Z,article,9dae3fec269e9ced,article_identity_complete,PASS,"Jay Idzes Pimpin Timnas Indonesia Ucapkan Terima Kasih ke Ultras Garuda, Momen Bikin Merinding! - BOLA.COM - Vidio",2026-04-08T06:52:05Z
20260408T065127Z,article,2fdd7fe86adfc96f,article_identity_complete,PASS,Analisis Bekas Timnas Indonesia: Duet Jay Idzes-Elkan Baggott Berisiko - readers.id,2026-04-08T06:52:05Z
20260408T065127Z,article,ad1ef044d2118e67,article_identity_complete,PASS,"Baru Kembali dari Timnas Indonesia, Jay Idzes Langsung Disentil Media Italia: 'Kasar' - tvOneNews",2026-04-08T06:52:05Z
20260408T065127Z,article,268ff00a537f10bb,article_identity_complete,PASS,Pelatih Sassuolo Memuji Konsistensi Jay Idzes di Timnas Indonesia: Layak dengan Predikat Pemain Terbaik - Bola.com,2026-04-08T06:52:05Z
