run_id,player_name,market_value,market_value_eur,news_count,news_summary,extract_date,transfermarkt_url
20260408T035711Z,Jay Idzes,€ 10.00 m,10000000,100,"Pengamat Nilai Jay Idzes Konsisten di Sassuolo, Kans Dilirik Klub Besar - Kompas.com (Tue, 07 Apr 2026 04:07:00 GMT) | Duet Elkan Baggott–Jay Idzes Dikritik Eks Bek Timnas Indonesia, hingga Media Vietnam Kegirangan Garuda Tampil Pincang - tvOneNews (Tue, 07 Apr 2026 11:15:00 GMT) | Bayangan Starting XI Timnas Indonesia jika Tanpa Pemain Diaspora Eropa di Piala AFF 2026: Tetap Ngeri Meski Tanpa Jay Idzes dkk! - Bola.com (Tue, 07 Apr 2026 01:45:00 GMT)",2026-04-08T03:57:11Z,https://www.transfermarkt.com/jay-idzes/profil/spieler/546926
20260408T035711Z,Marselino Ferdinan,€ 100 k,100000,100,"4 Pemain yang Bisa Dijajal John Herdman untuk Event Timnas Indonesia Terdekat - Bola.com (Mon, 06 Apr 2026 02:00:53 GMT) | Situasi Sulit Marselino Ferdinan: Peminjaman Gagal di AS Trencin, Kontrak Mau Habis di Oxford United - Bolasport.com (Tue, 17 Mar 2026 07:00:00 GMT) | Mantan Wonderkid Persebaya Surabaya Marselino Ferdinan Jadi Starter Timnas Indonesia Hadapi Australia, Siap Bikin Kejutan? - Jawa Pos (Wed, 01 Apr 2026 03:54:02 GMT)",2026-04-08T03:57:15Z,https://www.transfermarkt.com/marselino-ferdinan/profil/spieler/875219
20260408T035931Z,Jay Idzes,€ 10.00 m,10000000,100,"Pengamat Nilai Jay Idzes Konsisten di Sassuolo, Kans Dilirik Klub Besar - Kompas.com (Tue, 07 Apr 2026 04:07:00 GMT) | Duet Elkan Baggott–Jay Idzes Dikritik Eks Bek Timnas Indonesia, hingga Media Vietnam Kegirangan Garuda Tampil Pincang - tvOneNews (Tue, 07 Apr 2026 11:15:00 GMT) | Bayangan Starting XI Timnas Indonesia jika Tanpa Pemain Diaspora Eropa di Piala AFF 2026: Tetap Ngeri Meski Tanpa Jay Idzes dkk! - Bola.com (Tue, 07 Apr 2026 01:45:00 GMT)",2026-04-08T03:59:31Z,https://www.transfermarkt.com/jay-idzes/profil/spieler/546926
20260408T035931Z,Marselino Ferdinan,€ 100 k,100000,100,"4 Pemain yang Bisa Dijajal John Herdman untuk Event Timnas Indonesia Terdekat - Bola.com (Mon, 06 Apr 2026 02:00:53 GMT) | Situasi Sulit Marselino Ferdinan: Peminjaman Gagal di AS Trencin, Kontrak Mau Habis di Oxford United - Bolasport.com (Tue, 17 Mar 2026 07:00:00 GMT) | Mantan Wonderkid Persebaya Surabaya Marselino Ferdinan Jadi Starter Timnas Indonesia Hadapi Australia, Siap Bikin Kejutan? - Jawa Pos (Wed, 01 Apr 2026 03:54:02 GMT)",2026-04-08T03:59:36Z,https://www.transfermarkt.com/marselino-ferdinan/profil/spieler/875219
20260408T040118Z,Jay Idzes,€ 10.00 m,10000000,100,"Pengamat Nilai Jay Idzes Konsisten di Sassuolo, Kans Dilirik Klub Besar - Kompas.com (Tue, 07 Apr 2026 04:07:00 GMT) | Duet Elkan Baggott–Jay Idzes Dikritik Eks Bek Timnas Indonesia, hingga Media Vietnam Kegirangan Garuda Tampil Pincang - tvOneNews (Tue, 07 Apr 2026 11:15:00 GMT) | Bayangan Starting XI Timnas Indonesia jika Tanpa Pemain Diaspora Eropa di Piala AFF 2026: Tetap Ngeri Meski Tanpa Jay Idzes dkk! - Bola.com (Tue, 07 Apr 2026 01:45:00 GMT)",2026-04-08T04:01:18Z,https://www.transfermarkt.com/jay-idzes/profil/spieler/546926
20260408T040118Z,Marselino Ferdinan,€ 100 k,100000,100,"4 Pemain yang Bisa Dijajal John Herdman untuk Event Timnas Indonesia Terdekat - Bola.com (Mon, 06 Apr 2026 02:00:53 GMT) | Situasi Sulit Marselino Ferdinan: Peminjaman Gagal di AS Trencin, Kontrak Mau Habis di Oxford United - Bolasport.com (Tue, 17 Mar 2026 07:00:00 GMT) | SEA Games: Marselino Ferdinan Batal Gabung Skuad Timnas U-22 - detiksport (Wed, 03 Dec 2025 08:00:00 GMT)",2026-04-08T04:01:21Z,https://www.transfermarkt.com/marselino-ferdinan/profil/spieler/875219
